,District,No of Positive cases (27-03-2020),Lat,Long
0,Chitoor,1,13.0929032,80.266619
1,East Godavari ,2,17.233496,81.7225986
2,Guntur,1,16.2915189,80.4541588
3,Krishna,1,16.6691525,80.7190024
4,Nellore,1,14.4493717,79.9873763
5,Prakasam,1,15.5,79.5
6,Vijayawada,1,16.5087586,80.6185102
7,Vizag,3,17.7231276,83.3012842
8,MUNGER,2,25.22081165,86.51720367235285
9,PATNA,3,25.6093239,85.1235252
10,Chandigarh,7,30.7194022,76.7646552
11,Raipur,2,21.2379469,81.6336833
12,Rajnandgaon,1,20.9727404,80.69155548263583
13,Central Delhi,3,28.69854835,77.21939141568413
14,East Delhi,5,28.6204767,77.30918071344418
15,North Delhi,4,28.6141793,77.2022662
16,North East Delhi,5,28.72330795,77.26685650778668
17,North West Delhi,5,28.6141793,77.2022662
18,South Delhi,5,28.485169399999997,77.19637972381611
19,South West Delhi,3,28.58644805,76.97915298462692
20,West Delhi,5,28.6479519,77.08556541088615
21,Ahmedabad,14,23.0216238,72.5797068
22,Gandhinagar,7,23.2232877,72.6492267
23,Kutch,1,23.708787049999998,69.82747746941271
24,Rajkot,3,22.3051991,70.8028335
25,Surat,6,21.1864607,72.8081281
26,Vadodara,7,22.2973142,73.1942567
27,Faridabad,1,28.402837,77.3085626
28,Gurugram,24,28.4646148,77.0299194
29,Palwal,1,28.12502575,77.35831300773046
30,Panchkula,1,30.616216450000003,77.04197804321875
31,Panipat,2,29.3912753,76.9771675
32,Sonipat,1,29.0033144,77.0167323
33,Kangra,3,32.166667,76.25
34,Bandipora,5,34.4563234,75.18344578242946
35,Jammu,3,32.7185614,74.8580917
36,Srinagar,3,34.0747444,74.8204443
37,BBMP,1,13.058135,77.5064622757628
38,Bengaluru,9,12.9791198,77.5912997
39,Bengaluru Urban,7,12.94514225,77.55364499971128
40,Chikkaballapura,3,13.4358702,77.7312434
41,Dakshin Kannada,1,12.8827367,75.0309089
42,Dharwad,1,15.4540505,75.0066516
43,Kalburgi,3,17.166667,77.083333
44,Kodagu,1,12.3822808,75.66523533586208
45,Mysore,1,12.3051828,76.6553609
46,Uttara Kannada,2,14.724474149999999,74.64223734496612
47,Alappuzha,2,9.48870055,76.41256410969626
48,Ernakulam,20,10.038394700000001,76.5074145180173
49,Idukki,2,9.8497872,76.9797914
50,Kannur,13,11.8762254,75.3738043
51,Kasargod,45,12.4914722,74.9877613
52,Kottayam,3,9.62857045,76.6455250291479
53,Kozhikode,5,11.2446144,75.7759372
54,Mallapuram,5,15.5127186,79.1714602
