,State/UT,No of Positive cases,Latitude,Longitude
1,Andhra Pradesh,161.0,15.9240905,80.1863809
2,Andaman and Nicobar Islands,10.0,10.2188344,92.5771329
3,Arunachal Pradesh,1.0,27.6891712,96.4597226
4,Assam,24.0,26.4073841,93.2551303
5,Bihar,30.0,25.6440845,85.906508
6,Chandigarh,18.0,30.7194022,76.7646552
7,Chhattisgarh,9.0,21.6637359,81.8406351
8,Delhi,445.0,28.6517178,77.2219388
9,Goa,7.0,15.3004543,74.0855134
10,Gujarat,105.0,22.41540825,72.03149703699282
11,Haryana,49.0,29.0,76.0
12,Himachal Pradesh,6.0,31.81676015,77.34932051968858
13,Jammu and Kashmir,92.0,34.0476564,76.7972892
14,Jharkhand,2.0,23.4559809,85.2557301
15,Karnataka,144.0,14.5203896,75.7223521
16,Kerala,306.0,10.3528744,76.5120396
17,Ladakh,14.0,33.9456407,77.6568576
18,Madhya Pradesh,104.0,23.8143419,77.5340719
19,Maharashtra,490.0,19.531932,76.0554568
20,Manipur,2.0,24.7208818,93.9229386
21,Mizoram,1.0,23.2146169,92.8687612
22,Odisha,20.0,20.5431241,84.6897321
23,Puducherry,5.0,11.9340568,79.8306447
24,Punjab,57.0,30.9293211,75.5004841
25,Rajasthan,200.0,26.8105777,73.7684549
26,Tamil Nadu,485.0,10.9094334,78.3665347
27,Telengana,269.0,17.329125,78.5822228
28,Uttarakhand,22.0,30.091993549999998,79.32176659343018
29,Uttar Pradesh,227.0,27.1303344,80.859666
30,West Bengal,69.0,22.9964948,87.6855882
